Na,Rm
2700,105.721
2800,106.705
2900,110.644
3000,111.987
3100,114.425
3200,116.4
3300,117.546
3400,117.546
3500,118.95
3600,119.821
3700,123.357
3800,123.556
3900,124.197
4000,129.294
4100,131.244
4200,131.7
4300,131.7
4400,134.852
4500,134.852
4600,135.093
4700,135.093
4800,137.539
4900,138.514
5000,139.714
10,3.16228
100,13.0384
200,19.105
300,24.8395
400,28.4253
500,34.6699
600,38.4708
700,42.5441
800,44.2945
900,48.3011
1000,50.6063
1100,52.6972
1200,56.356
1300,59.0593
1400,63.1348
1500,66.6408
1600,68.8767
1700,72.4983
1800,74.3236
1900,76.5572
2000,80.6226
2100,82.0792
2200,84.1724
2300,86.406
2400,87.7268
2500,88.6397
2600,93.6056
2700,93.9202
2800,95.5196
2900,96.7988
3000,98.6813
3100,99.96
3200,101.843
3300,102.528
3400,104.752
3500,106.977
3600,108.849
3700,110.386
3800,113.217
3900,115.741
4000,119.549
4100,120.806
4200,123.081
4300,127.201
4400,129.402
4500,130.943
4600,133.454
4700,134.715
4800,135.074
4900,137.899
5000,138.235
10,3
100,14.5602
200,20.5913
300,26.9258
400,28.6356
500,29.8329
600,35.805
700,37.1214
800,42.4853
900,44.1022
1000,47.927
1100,51.0392
1200,51.8845
1300,54.5619
1400,55.9464
1500,59.6825
1600,61.9112
1700,63.6318
1800,65.8635
1900,68.4763
2000,70.214
2100,72.2011
2200,74.5252
2300,77.3692
2400,79.6053
2500,82.2922
2600,85.4283
2700,87.6641
2800,88.1419
2900,89.493
3000,91.3947
3100,95.2103
3200,95.9635
3300,97.9081
3400,98.737
3500,99.1262
3600,103.446
3700,104.043
3800,105.948
3900,110.725
4000,113.6
4100,114.791
4200,116.692
4300,121.116
4400,123.329
4500,126.242
4600,127.883
4700,131.217
4800,133.664
4900,135.595
5000,135.857
10,3.16228
100,14.8661
200,21.3776
300,26.3059
400,32.0624
500,33.2415
600,41.0488
700,45.2769
800,51.2445
900,53.1507
1000,54.3323
1100,55.3263
1200,58.2151
1300,60.2993
1400,62.3939
1500,64.2806
1600,67.2681
1700,69.1809
1800,70.4557
1900,71.5681
2000,73
2100,76.0066
2200,77.0065
2300,77.0065
2400,78.0064
2500,81.3019
2600,84.1724
2700,86.3134
2800,88.2836
2900,88.2836
3000,89.2693
3100,91.2414
3200,93.3809
3300,97.3242
3400,100.623
3500,105.546
3600,106.705
3700,108.674
3800,109.659
3900,113.952
4000,116.902
4100,117.085
4200,119.52
4300,120.416
4400,121.396
4500,121.655
4600,121.655
4700,122.691
4800,123.685
4900,124.68
5000,124.68
10,3
100,13
200,18.4391
300,24.5153
400,29.7321
500,35.6931
600,37.4833
700,40.5216
800,42.5793
900,47.0744
1000,48.5077
1100,50
1200,52.4786
1300,58.3095
1400,61.4003
1500,62.2656
1600,68.0955
1700,69.4622
1800,71.3442
1900,72.2011
2000,73.3553
2100,74.2428
2200,76.5376
2300,77.8974
2400,79.7559
2500,83.2406
2600,85.4751
2700,86.8332
2800,87.3212
2900,90.05
3000,91.3017
3100,93.9415
3200,94.414
3300,95.2575
3400,97.2471
3500,99.2975
3600,99.8649
3700,102.801
3800,105.603
3900,108.853
4000,109.202
4100,109.622
4200,112.361
4300,113.296
4400,113.886
4500,115.767
4600,116.379
4700,118.849
4800,121.078
4900,122.004
5000,123.859
10,4.24264
100,13.6015
200,20.025
300,23.0217
400,28.1603
500,32.0156
600,35
700,40.1123
800,44.1814
900,47.1699
1000,51.0882
1100,53.3385
1200,54.7449
1300,56.7539
1400,60.4152
1500,63.3482
1600,66.4906
1700,67.6831
1800,70.0357
1900,72.1803
2000,74.9667
2100,77.4661
2200,79.6241
2300,82.201
2400,83.1865
2500,84.1724
2600,86.0233
2700,87.0919
2800,89.2861
2900,90.956
3000,94.2603
3100,96.2549
3200,100.499
3300,105.575
3400,108.904
3500,112.009
3600,112.147
3700,112.872
3800,115.117
3900,116.619
4000,119.218
4100,120.354
4200,121.413
4300,123.491
4400,124.487
4500,126.479
4600,127.566
4700,128.413
4800,134.35
4900,136.195
5000,137.186
