,Na,Rm,Rm_mean,Rm_sd,ln_Na,ln_Rm,ln_Rm_mean,ln_Rm_SD,grad_Ln_n/r,grad_Ln_n/r_mean
3032,2500,97.7394,90.68775999999998,6.727035487412114,7.824046010856292,4.5823047530877465,4.50471501663176,0.07332972524943136,1.748795095881228,1.7186023159202657
3033,2600,100.305,92.84680916666669,6.862446486530193,7.8632667240095735,4.608215544174052,4.528259590909236,0.07313910404695788,1.5005759745608471,1.736862935811527
3034,2700,102.883,94.81161499999999,7.223126259991259,7.90100705199242,4.6335924202507845,4.5490253876744635,0.075520650342383,1.850715961235645,1.7667293167543852
3035,2800,104.40299999999999,96.83036999999996,7.235162676374733,7.937374696163295,4.648258410667862,4.57020601215834,0.07400873487920884,1.6060504337981323,1.7889541372712041
3036,2900,107.564,98.6562783333333,7.261498968397691,7.9724660159745655,4.678086019255115,4.588969935437519,0.07288050414839224,1.5351888340380788,1.850095882342017
3037,3000,109.20200000000001,100.49698166666668,7.3315429829262,8.006367567650246,4.693199378161402,4.607497523449967,0.07234357286527993,0.0,0.0
3038,10,4.0,3.358624666666668,0.7150635177508384,2.302585092994046,1.3862943611198906,1.1896030470871515,0.20882358120895358,0.0,0.0
3039,100,14.0357,14.163644166666655,1.7027718451492497,4.605170185988092,2.6416040838818344,2.643674029712245,0.11768307721068658,1.9641185387072888,1.6056794813979303
3040,200,18.3848,21.370676666666668,2.505533039818545,5.298317366548036,2.911524236260559,3.0553130522656806,0.11521619156910232,2.0413413072867694,1.7126578036357556
3041,300,24.0416,26.84902916666666,2.7195913806243306,5.703782474656201,3.179785663192704,3.285140343844522,0.10076782417093728,1.2948694200784194,1.7601751636533443
3042,400,31.4006,31.6187925,3.1040169220480047,5.991464547107982,3.4468270010119015,3.4491074852704497,0.09557367636437496,1.2825086766149447,1.7533435392386785
3043,500,35.805,35.89659333333332,3.3230372416093164,6.214608098422191,3.578087548458903,3.576484060768244,0.09057615756357267,1.6751125754434928,1.7133367482688373
3044,600,40.0,40.04389833333334,3.710717573596353,6.396929655216146,3.6888794541139363,3.6857598004197327,0.09147028789639876,1.8348130640091944,1.7102698472107807
3045,700,43.0116,43.72722333333333,4.3229883075394016,6.551080335043404,3.7614698467547294,3.773220404550457,0.09685168179999114,1.7813831390847528,1.7275058757833865
3046,800,47.0106,47.33177250000001,4.7437520320586515,6.684611727667927,3.850373108196453,3.852290100828305,0.09834182989737124,1.442796004771154,1.707768512129291
3047,900,51.1957,50.64796416666664,4.9007527603728755,6.802394763324311,3.935655544143577,3.9203799443217817,0.09431186119759224,1.403948936486146,1.7507711267575068
